name,description,initials,teachers
Transformaciones del Cuerpo y la Palabra en Escena (2da Mitad Siglo Xx),Transformaciones del Cuerpo y la Palabra en Escena (2da Mitad Siglo Xx),ACT154,['Maria Hurtado']
Realización Artística,Realización Artística,ACT181,['Alexandra Von Hummel']
Taller de Investigación Teórica,Taller de Investigación Teórica,ACT185,['Andres Grumann']
Introducción al Derecho,Introducción al Derecho,ADP001D,['Alejandro Farias']
Justicia y Bien Común,Justicia y Bien Común,ADP001G,['Francisca Ibarra;Gonzalo Letelier']
Gestión Pública I,Gestión Pública I,ADP002G,['Cristian Pliscoff']
Gestión Pública II,Gestión Pública II,ADP003G,['Cristian Pliscoff']
Estado de la Investigacion en Arquitectura y Paisaje,Estado de la Investigacion en Arquitectura y Paisaje,ADU4002,['Gloria Saravia']
"Etica, Arquitectura y Ciudad","Etica, Arquitectura y Ciudad",ADU4003,['Mauricio Correa']
Tesis de Doctorado III,Tesis de Doctorado III,ADU4020,['Dirección Docente']
Aproximaciones a la Investigación,Aproximaciones a la Investigación,ADU4049,['María Méndez']
Proyecto de Tesis Doctoral,Proyecto de Tesis Doctoral,ADU4101,['Por Fijar']
Examen de Candidatura Doctoral,Examen de Candidatura Doctoral,ADU4102,['Martin Tironi']
Tesis Doctoral I,Tesis Doctoral I,ADU4103,['Rodrigo Perez de Arce']
Tesis Doctoral II,Tesis Doctoral II,ADU4104,['German Hidalgo']
Tesis Doctoral III,Tesis Doctoral III,ADU4105,['German Hidalgo']
Tesis Doctoral IV,Tesis Doctoral IV,ADU4106,['Maria Vicuna']
Coloquio Doctoral I,Coloquio Doctoral I,ADU4108,['Dirección Docente']
Coloquio Doctoral II,Coloquio Doctoral II,ADU4109,['Dirección Docente']
Autoría Artículo Científico o Patente,Autoría Artículo Científico o Patente,ADU4110,['Dirección Docente']
Pasantía,Pasantía,ADU4111,['Dirección Docente']
Práctica Académica,Práctica Académica,ADU4112,['Dirección Docente']
Problemas Actuales en Arquitectura y Estudios Urbanos,Problemas Actuales en Arquitectura y Estudios Urbanos,ADU4121,['Pedro Alonso;Javier Ruiz-Tagle']
Seminario de Tesis,Seminario de Tesis,ADU4123,['Catalina Marshall;Jose Rosas;María Méndez']
Accesibilidad en los Espacios de la Ciudad,Accesibilidad en los Espacios de la Ciudad,AEU2000,['Felipe Ladrón de Guevara;Cristhian Figueroa']
"Género, Espacio y Cuerpo: Hacia Proyectos Con Enfoque Feminista","Género, Espacio y Cuerpo: Hacia Proyectos Con Enfoque Feminista",AEU2002,['Christian Matus;Patricia Sanchez']
Mecanizacion,Mecanizacion,AGC204,['Guillermo Lorca']
Producción de Cultivos,Producción de Cultivos,AGC206,['Samuel Contreras;Maria Ahumada']
Flora Nativa,Flora Nativa,AGC220,['Jesus Hernandez;Gloria Montenegro;Miguel Gomez']
Manejo de Céspedes,Manejo de Céspedes,AGC250,['Alejandra Acuna']
Material Vegetal y Diseño de Parques y Jardines,Material Vegetal y Diseño de Parques y Jardines,AGC261,['Cristobal Elgueta']
Manejo del Paisaje,Manejo del Paisaje,AGC262,['Maria Vargas']
Viticultura Avanzada,Viticultura Avanzada,AGC3002,['Alonso Perez']
Sistemas Intensivos de Producción Vegetal,Sistemas Intensivos de Producción Vegetal,AGC310,['Francisco Albornoz']
Biología y Producción de Semillas,Biología y Producción de Semillas,AGC312,['Samuel Contreras']
Principios de Mejoramiento Genético,Principios de Mejoramiento Genético,AGC313,['Andres Schwember']
Biología y Manejo de Malezas,Biología y Manejo de Malezas,AGC317,['Rodrigo Figueroa;Gabriela Cordovez']
Biotecnología Agropecuaria,Biotecnología Agropecuaria,AGC318,['Francisco Fuentes;Marlene Gebauer']
Diseño y Manejo del Riego para Cultivos,Diseño y Manejo del Riego para Cultivos,AGC319,['Cristian Barrera']
Ciencia de Plaguicidas e Interacciones Ambientales,Ciencia de Plaguicidas e Interacciones Ambientales,AGC322,['Daniel Schwantes']
Propiedades y Manejo de Pesticidas,Propiedades y Manejo de Pesticidas,AGC3600,['Daniel Schwantes']
Virología Vegetal,Virología Vegetal,AGC3610,['Elizabeth Peña']
Metabolismo Intermediario de Plantas,Metabolismo Intermediario de Plantas,AGC3661,['Jorge Arce']
Fundamentos de Fertilidad de Suelos y Nutrición,Fundamentos de Fertilidad de Suelos y Nutrición,AGC3662,['Claudia Bonomelli']
Biotecnologia Vegetal,Biotecnologia Vegetal,AGC3665,['Marlene Gebauer']
Fisiología de Plantas Frutales,Fisiología de Plantas Frutales,AGC3666,['Alonso Perez;Jose Alcalde;Chita Ayala']
Relacion Suelo-Planta-Agua,Relacion Suelo-Planta-Agua,AGC3667,['Alonso Perez;Pilar Gil']
Fisiología de Plantas Cultivadas,Fisiología de Plantas Cultivadas,AGC3779,['Ursula Steinfort']
Microbiología de Fermentaciones,Microbiología de Fermentaciones,AGC3781,['Liliana Godoy']
Anatomía Vegetal Aplicada,Anatomía Vegetal Aplicada,AGC3783,['Miguel Gomez']
Microbiología e Inocuidad de Frutas y Verduras,Microbiología e Inocuidad de Frutas y Verduras,AGC3784,['Cristian Jacob']
Tesis I,Tesis I,AGC3800,['Tania Zaviezo;Docente Dirección']
Tesis II,Tesis II,AGC3801,['Tania Zaviezo;Docente Dirección']
Introducción a la Economía Ambiental y de los Recursos Naturales,Introducción a la Economía Ambiental y de los Recursos Naturales,AGE206,['Rodrigo Arriagada']
Economía Agraria y Ambiental,Economía Agraria y Ambiental,AGE207,['Oscar Melo']
Comercialización Internacional de Fruta Fresca,Comercialización Internacional de Fruta Fresca,AGE259,['Manuel Alcaino']
Comercialización Agropecuaria,Comercialización Agropecuaria,AGE308,['Javier Salazar']
Políticas Agrarias,Políticas Agrarias,AGE312,['Gonzalo Vargas']
Economía Ambiental,Economía Ambiental,AGE313,['Rodrigo Arriagada']
Gestión de Operaciones,Gestión de Operaciones,AGE315,['Esteban Taha']
Análisis de Decisiones,Análisis de Decisiones,AGE317,['Eugenio Bobenrieth']
Entorno Legal y Tributario de la Actividad Silvoagropecuaria,Entorno Legal y Tributario de la Actividad Silvoagropecuaria,AGE3666,['Juan Subercaseaux']
Finanzas Corporativas y Sustentabilidad,Finanzas Corporativas y Sustentabilidad,AGE3667,['María Engler']
Politicas Agrarias,Politicas Agrarias,AGE3792,['Gonzalo Vargas']
Desarrollo Económico de la Agricultura,Desarrollo Económico de la Agricultura,AGE3796,['Gustavo Anriquez']
Economía del Agua,Economía del Agua,AGE3801,['Guillermo Donoso']
Métodos Matemáticos para Microeconomía Aplicada,Métodos Matemáticos para Microeconomía Aplicada,AGE3810,['Guillermo Donoso']
Fundamentos de la Economía Agraria y Ambiental,Fundamentos de la Economía Agraria y Ambiental,AGE3811,['William Foster']
Seminario de Economía Agraria y Ambiental I,Seminario de Economía Agraria y Ambiental I,AGE3812,['Oscar Melo']
Seminario de Economía Agraria y Ambiental III,Seminario de Economía Agraria y Ambiental III,AGE3814,['Gustavo Anriquez']
Análisis Microeconómico II,Análisis Microeconómico II,AGE3815,['Eugenio Bobenrieth']
Tesis,Tesis,AGE3817,['Dirección Docente']
Métodos Experimentales en Economía Agraria y Ambiental,Métodos Experimentales en Economía Agraria y Ambiental,AGE3819,['Oscar Melo']
Fruticultura,Fruticultura,AGF201,['Chita Ayala;Andrés Valenzuela']
Agricultura Orgánica,Agricultura Orgánica,AGF321,['Tania Zaviezo;Rodrigo Chorbadjian;Liliana Godoy;Hector Valdes;Claudia Bonomelli;Rodrigo Figueroa']
Vinificación,Vinificación,AGF326,['Edmundo Bordeu;Natalia Brossard']
Frutales de Hoja Caduca I,Frutales de Hoja Caduca I,AGF327,['Román Toro;Juan Zoffoli;Carlos Sotomayor']
Frutales de Hoja Persistente,Frutales de Hoja Persistente,AGF328,['Johanna Martiz']
Poscosecha de Frutas,Poscosecha de Frutas,AGF329,['Juan Zoffoli']
Propagación de Plantas,Propagación de Plantas,AGF330,['Johanna Martiz;Ursula Steinfort']
Química y Microbiología del Vino,Química y Microbiología del Vino,AGF331,['Edmundo Bordeu;Liliana Godoy']
Cervecería y Otras Bebidas Fermentadas,Cervecería y Otras Bebidas Fermentadas,AGF335,['Jose Alcalde']
Taller de Fermentaciones,Taller de Fermentaciones,AGF338,['Juana Ceppi  de  Lecco']
Taller de Sistemas Agrícolas y Forestales I,Taller de Sistemas Agrícolas y Forestales I,AGL030,['Romina Abarca']
Taller 3,Taller 3,AGL060,['Claudio Meneses']
Taller 4,Taller 4,AGL070,['Luis Mejias']
Taller 5,Taller 5,AGL090,['María Valdés']
Practica de Verano 1,Practica de Verano 1,AGL100,['Pablo Perez']
Botanica,Botanica,AGL101,['Miguel Gomez;Gloria Montenegro;Gabriela Cordovez']
Suelos y Fertilidad,Suelos y Fertilidad,AGL110,['Claudia Bonomelli;Vicente Maass;Eduardo Arellano']
Agua y Riego,Agua y Riego,AGL111,['Pilar Gil;Sophia Tobar;Cristian Barrera']
Climatologia,Climatologia,AGL112,['Francisco Meza;Nicolas Raab']
Practica de Licenciatura,Practica de Licenciatura,AGL150,['Dirección Docente']
Practica de Verano 2,Practica de Verano 2,AGL200,['Cristian Barrera']
Estadistica,Estadistica,AGL201,['David Morales']
Genetica y Biotecnologia,Genetica y Biotecnologia,AGL203,['Marina Gambardella']
"Principios de Procesamiento, Calidad e Inocuidad de Alimentos","Principios de Procesamiento, Calidad e Inocuidad de Alimentos",AGL204,['Maria Fellenberg;Juan Zoffoli;Macarena Fernandez;Natalia Brossard']
Proteccion de Plantas,Proteccion de Plantas,AGL211,['Rodrigo Chorbadjian;Ines Rosales;Gabriela Cordovez;Maria Ahumada']
Produccion Animal,Produccion Animal,AGL221,['Rafael Larrain;Francisca Petrovich']
Administración de Sistemas Agrícolas y Forestales,Administración de Sistemas Agrícolas y Forestales,AGL232,['Gonzalo Vargas']
Formulación y Evaluación de Proyectos,Formulación y Evaluación de Proyectos,AGL233,['Luis Diaz']
Apicultura Sustentable,Apicultura Sustentable,AGL253,['Gabriel Nunez;Miguel Gomez;Gloria Montenegro']
Excel para la Vida Profesional,Excel para la Vida Profesional,AGL255,['Juan Leon']
Comercio Exterior Silvoagropecuario,Comercio Exterior Silvoagropecuario,AGL270,['Claudio Olivares']
Aplicaciones Estadisticas,Aplicaciones Estadisticas,AGL280,['Ivan Pena']
Huertos Urbanos y Comunitarios,Huertos Urbanos y Comunitarios,AGL281,['Luis Mejias;Francisco Fuentes']
Residencia Profesional,Residencia Profesional,AGL380,['Dirección Docente']
Examen de Certificación de Licenciatura,Examen de Certificación de Licenciatura,AGL400,['Dirección Docente']
Evaluación de Proyectos Agroalimentarios,Evaluación de Proyectos Agroalimentarios,AGM3000,['Luis Diaz']
Taller de Negociación y Habilidades Gerenciales,Taller de Negociación y Habilidades Gerenciales,AGM3001,['Juan Subercaseaux']
Taller de Comercio Internacional,Taller de Comercio Internacional,AGM3002,['Javier Salazar']
Proyecto Final de Graduación,Proyecto Final de Graduación,AGM3003,['Juan Subercaseaux']
Tesis,Tesis,AGP3015,['Dirección Docente']
Actividad Integradora de Graduación,Actividad Integradora de Graduación,AGP3016,['Dirección Docente']
Econometria,Econometria,AGP3132,['William Foster']
Estudio Dirigido I,Estudio Dirigido I,AGP3134,['Dirección Docente']
Estudio Dirigido II,Estudio Dirigido II,AGP3135,['Dirección Docente']
Taller de Métodos de Investigación,Taller de Métodos de Investigación,AGP3136,['Hector Valdes;María Engler']
Métodos Estadísticos en Recursos Naturales,Métodos Estadísticos en Recursos Naturales,AGP3138,['Horacio Gilabert;David Morales']
Estudio Dirigido,Estudio Dirigido,AGP4000,['Dirección Docente']
Seminario de Doctorado I,Seminario de Doctorado I,AGP4001,['Tania Zaviezo;Ines Rosales']
Tesis de Doctorado I,Tesis de Doctorado I,AGP4011,['Dirección Docente']
Tesis de Doctorado II,Tesis de Doctorado II,AGP4012,['Dirección Docente']
Tesis de Doctorado III,Tesis de Doctorado III,AGP4013,['Dirección Docente']
Tesis de Doctorado IV,Tesis de Doctorado IV,AGP4014,['Dirección Docente']
Examen de Candidatura de Doctorado en Ciencias de la Agricultura,Examen de Candidatura de Doctorado en Ciencias de la Agricultura,AGP4016,['Dirección Docente']
Proyecto de Tesis Doctoral,Proyecto de Tesis Doctoral,AGP4017,['Dirección Docente']
Actividad Anual de Seguimiento I,Actividad Anual de Seguimiento I,AGP4018,['Dirección Docente']
Actividad Anual de Seguimiento II,Actividad Anual de Seguimiento II,AGP4019,['Dirección Docente']
Autoría Artículo Científico o Patente,Autoría Artículo Científico o Patente,AGP4020,['Dirección Docente']
Pasantía,Pasantía,AGP4021,['Dirección Docente']
Comunicación de la Ciencia e Impacto Público,Comunicación de la Ciencia e Impacto Público,AGP4023,['Sebastián Escobar;Javiera Mateluna']
Ecologia Forestal,Ecologia Forestal,AGR200,['Pablo Becerra;Priscila Moraga']
Geomatica Aplicada a Recursos Naturales,Geomatica Aplicada a Recursos Naturales,AGR205,['Marcelo Miranda']
Suelo e Hidrología Forestal,Suelo e Hidrología Forestal,AGR208,['Eduardo Arellano;Isabel Rojas']
Sanidad Forestal,Sanidad Forestal,AGR301,['Priscila Moraga']
Interacciones Insecto-Planta,Interacciones Insecto-Planta,AGR3013,['Rodrigo Chorbadjian;Miguel Gomez']
Ecología Avanzada,Ecología Avanzada,AGR3018,['Pablo Becerra']
Manejo y Planificación Forestal,Manejo y Planificación Forestal,AGR302,['Horacio Gilabert']
Tesis I (Proyecto de Tesis),Tesis I (Proyecto de Tesis),AGR3023,['Eduardo Arellano;Docente Dirección']
Tesis II,Tesis II,AGR3024,['Dirección Docente']
Arbolado Urbano,Arbolado Urbano,AGR304,['Maria Fernandez;Claudio Preller;Priscila Moraga']
"Estructura, Propiedades e Industria de la Madera","Estructura, Propiedades e Industria de la Madera",AGR306,['Magda Orell;Maria Fernandez']
Fauna y Manejo de Vida Silvestre,Fauna y Manejo de Vida Silvestre,AGR308,['Cristian Bonacic']
Restauración Ecológica,Restauración Ecológica,AGR309,['Rosanna Ginocchio;Eduardo Arellano']
Manejo de Areas Protegidas,Manejo de Areas Protegidas,AGR311,['Andres Meza']
Evaluación Integrada de Ecosistemas,Evaluación Integrada de Ecosistemas,AGR317,['Marcelo Miranda']
Gestión Ambiental en Agricultura,Gestión Ambiental en Agricultura,AGR318,['Alejandra Muñoz']
Problemas Ambientales del Sector Agropecuario,Problemas Ambientales del Sector Agropecuario,AGR320,['Rosanna Ginocchio;Gisela Valenzuela']
Desafíos para la Conservación y Manejo de los Recursos Naturales,Desafíos para la Conservación y Manejo de los Recursos Naturales,AGR3556,['Jorge Schoffer']
Acuicultura,Acuicultura,AGZ200,['Sebastián Escobar']
Tecnología de Productos Pecuarios,Tecnología de Productos Pecuarios,AGZ321,['Romina Abarca']
Alimentos y Alimentación Animal,Alimentos y Alimentación Animal,AGZ331,['Fernando Bas;Maria Muñoz;Robert Mora']
Forrajeras y Manejo de Praderas,Forrajeras y Manejo de Praderas,AGZ333,['Giorgio Castellaro']
Comportamiento y Bienestar Animal,Comportamiento y Bienestar Animal,AGZ340,['Cristian Larrondo']
Nutrición y Metabolismo Animal,Nutrición y Metabolismo Animal,AGZ341,['Rafael Larrain;Fijar Por;Carolina Geldsetzer']
Fisiologia Animal Avanzada,Fisiologia Animal Avanzada,AGZ3414,['Jose Riveros']
Bioética y Bienestar Animal,Bioética y Bienestar Animal,AGZ3418,['Por Fijar']
Actividad Integradora de Graduación,Actividad Integradora de Graduación,AGZ3419,['Dirección Docente']
Innovaciones Sustentables en Producción Animal,Innovaciones Sustentables en Producción Animal,AGZ3425,['Fernando Bas']
Produccion de Rumiantes Menores,Produccion de Rumiantes Menores,AGZ354,['Jose Riveros']
Seminario de Postgrado en Producción Animal,Seminario de Postgrado en Producción Animal,AGZ3780,['Sebastián Escobar']
Paradigmas Antropológicos,Paradigmas Antropológicos,ANT100,['Cristian Simonetti']
Ética Social,Ética Social,ANT107,['Helene Risor']
Introducción a la Antropología Biológica,Introducción a la Antropología Biológica,ANT110,['Felipe Martinez']
Introducción a la Arqueología,Introducción a la Arqueología,ANT120,['Catalina Contreras;Maria Plaza']
Antropología del Lenguaje,Antropología del Lenguaje,ANT135,['Juan Aedo']
Teoría Antropológica I,Teoría Antropológica I,ANT140,['Piergiorgio Di Giminiani']
Teoría Antropológica III,Teoría Antropológica III,ANT160,['Sofia Bowen']
Introducción a la Etnografía,Introducción a la Etnografía,ANT170,['José Guerra;Lili Almási-Szabó']
Etnografía II,Etnografía II,ANT190,['Marcelo Gonzalez']
Antropología del Parentesco y el Género,Antropología del Parentesco y el Género,ANT200,['Giovanna Bacchiddu']
Antropología Urbana,Antropología Urbana,ANT210,['Marjorie Murray']
Antropología Política,Antropología Política,ANT220,['Juan Aedo']
Antropología y Relaciones Internacionales,Antropología y Relaciones Internacionales,ANT2325,['Juan Eguiguren']
Taller de Análisis Cualitativo en Investigación Social,Taller de Análisis Cualitativo en Investigación Social,ANT2531,['Ignacio Sandoval']
Formulación y Evaluación de Proyectos,Formulación y Evaluación de Proyectos,ANT300,['Jaime Coquelet']
Teoría Antropológica Contemporánea I,Teoría Antropológica Contemporánea I,ANT3000,['Piergiorgio Di Giminiani']
Diseño y Ética de la Investigación Antropológica,Diseño y Ética de la Investigación Antropológica,ANT3002,['Helene Risor']
Proyecto de Tesis Doctoral,Proyecto de Tesis Doctoral,ANT3005,['Cristian Simonetti']
Exámen de Candidatura Doctoral,Exámen de Candidatura Doctoral,ANT3006,['Cristian Simonetti']
Trabajo de Campo II,Trabajo de Campo II,ANT3008,['Juan Aedo;Marjorie Murray']
Antropología del Consumo,Antropología del Consumo,ANT3016,['Marjorie Murray']
Antropología del Género,Antropología del Género,ANT3026,['Giovanna Bacchiddu']
Antropología del Estado,Antropología del Estado,ANT3031,['Francisca De la Maza']
Naturaleza-Cultura: Perspectivas Filosóficas Contemporáneas,Naturaleza-Cultura: Perspectivas Filosóficas Contemporáneas,ANT3032,['Andres Haye']
Arqueología Avanzada I,Arqueología Avanzada I,ANT303Q,['Victor Mendez']
Interpretación en Arqueología,Interpretación en Arqueología,ANT304Q,['Roberto Campbell']
Arqueología Cuantitativa,Arqueología Cuantitativa,ANT305Q,['Francisca Santana']
Mediación e Interculturalidad,Mediación e Interculturalidad,ANT310,['Margarita Ortiz']
Arqueología Avanzada III,Arqueología Avanzada III,ANT310Q,['Rafael Labarca']
Arqueologías Políticas y las Formas del Poder,Arqueologías Políticas y las Formas del Poder,ANT311Q,['Daniel Quiroz']
Laboratorio I,Laboratorio I,ANT312Q,['Fernanda Erazo']
Arqueología de Chile II,Arqueología de Chile II,ANT313Q,['Roberto Campbell']
Arqueología y Empresa,Arqueología y Empresa,ANT318Q,['Alejandra Vidal']
Arqueología y Ciencia,Arqueología y Ciencia,ANT319Q,['Mauricio Uribe']
Politicas Públicas,Politicas Públicas,ANT320,['Rosario Palacios']
Arqueología y Políticas Públicas,Arqueología y Políticas Públicas,ANT320Q,['Violeta Abarca']
Taller de Titulación,Taller de Titulación,ANT330,['Pedro Mege']
Taller de Titulación,Taller de Titulación,ANT330Q,['Rafael Labarca']
Antropología Amerindia Comparada,Antropología Amerindia Comparada,ANT401R,['Marcelo Gonzalez']
Cosmologías Afro-Americanas,Cosmologías Afro-Americanas,ANT404R,['Diana Espirito']
Conservación Arqueológica,Conservación Arqueológica,ANT505Q,['Daniela Bracchitta']
Arqueología y Antropología de Evaluación Ambiental en el Marco de Proyectos de Inversión,Arqueología y Antropología de Evaluación Ambiental en el Marco de Proyectos de Inversión,ANT506Q,['Alejandra Vidal']
Arte-Factos Nativos en Chile,Arte-Factos Nativos en Chile,ANT507Q,['Gloria Cabello']
Proyecto de Titulo I,Proyecto de Titulo I,AQA1100,['Luis Bresciani']
Proyecto de Titulo II,Proyecto de Titulo II,AQA1200,['Luis Bresciani']
Introducción a la Construcción,Introducción a la Construcción,AQC0100,['Philippe Blanc;Victoria Jolly;Verónica Illanes;Germán Guzmán;Patricio Huidobro']
Práctica de Obras I,Práctica de Obras I,AQC0101,['Sebastián Sauma']
Elementos Estructurales: Fundamentos de Análisis y Diseño Estructural,Elementos Estructurales: Fundamentos de Análisis y Diseño Estructural,AQC0110,['Orlando Vigouroux;Cristian Calvo;Francisco Milla']
Técnicas y Construcción,Técnicas y Construcción,AQC0200,['Mario Ubilla;Amparo Henríquez']
Práctica de Obras II,Práctica de Obras II,AQC0202,['Miguel Delso']
Forma Sismorresistente,Forma Sismorresistente,AQC0210,['Patricio Bertholet;Sebastian Carcamo;Juan Alarcon']
"Instalaciones, Sistemas y Proyecto Arquitectónico","Instalaciones, Sistemas y Proyecto Arquitectónico",AQC0300,['Mauricio Lama;Gonzalo Escobar']
Diseño y Legislación,Diseño y Legislación,AQC1111,['Javier Avila']
Observación de la Construcción. Obras Notables en Chile,Observación de la Construcción. Obras Notables en Chile,AQC2010,['Mario Carreno']
Introducción a la Arquitectura,Introducción a la Arquitectura,AQH0000,['Hugo Mondragon;Javiera Rodríguez;Camila Osorio;José Hassi;Manola Ogalde']
Arquitectura Antigua y Tradición Clásica,Arquitectura Antigua y Tradición Clásica,AQH0200,['German Hidalgo;Carlos Silva']
Arquitectura y la Tradición Moderna,Arquitectura y la Tradición Moderna,AQH0300,['Horacio Torrent;Maria Vera']
Debates de la Arquitectura Contemporánea,Debates de la Arquitectura Contemporánea,AQH0400,['Alejandro Crispiani;Javier Ruiz;Guillermo Zilleruelo;Benjamín Howard']
Cmd Vive Salud: Construyendo Un Hábitat Saludable,Cmd Vive Salud: Construyendo Un Hábitat Saludable,AQI0001,['Nestor Tapia;Marisa Torres']
Cmd Investigación en Pregrado Uc Propone Arquitectura,Cmd Investigación en Pregrado Uc Propone Arquitectura,AQI0002,['Sandra Iturriaga']
Diseño de Viviendas Saludables,Diseño de Viviendas Saludables,AQI0003,['Mauricio Lama;María Araya']
Cmd el Mueble: la Construcción del Gesto,Cmd el Mueble: la Construcción del Gesto,AQI0203,['Juan Baixas;Federico Monroy']
"Cmd Poetica del Habitar, Mundo Contemporaneo","Cmd Poetica del Habitar, Mundo Contemporaneo",AQI0302,['Guillermo Zilleruelo;León Délano']
Práctica de Oficina,Práctica de Oficina,AQO0100,['Juan Ojeda']
Producción Digital I,Producción Digital I,AQR1000,['Eloy Bahamondes']
Producción Digital II,Producción Digital II,AQR2000,['Roger Saintard;Tomás Bravo']
Práctica de Servicio,Práctica de Servicio,AQS0100,['Luis Bresciani;Isidora Irarrazaval']
Taller de Formación y Representación I,Taller de Formación y Representación I,AQT0000,['Rodrigo Perez de Arce;Paulina Fernandez;Diego Fredes;Tomas Villalon;Cristóbal Montalbetti;Robert Newcombe;Sebastian Bianchi;Gerardo Köster']
"Taller Investigación y Proyecto en Arquitectura, Ciudad y Paisaje","Taller Investigación y Proyecto en Arquitectura, Ciudad y Paisaje",AQT006U,['Pedro Bannen']
Taller Optativo Proyecto I,Taller Optativo Proyecto I,AQT007U,['Paula Velasco;Nicolas Norero']
Taller Optativo Proyecto II,Taller Optativo Proyecto II,AQT008A,['Paula Velasco;Nicolas Norero']
Taller Optativo de Proyecto III,Taller Optativo de Proyecto III,AQT009A,['Dirección Docente']
Taller de Proyecto de Título I,Taller de Proyecto de Título I,AQT010T,['Dirección Docente']
Taller de Formación y Representación II,Taller de Formación y Representación II,AQT0200,['Nancy Hidalgo;Catalina Allende;Camila Bravo;Paula Florez;Maximiliano Trigos;Germán Guzmán;Francisca Mujica;Filipe Pereira;Catalina Alberti;Rodrigo García']
Taller de Proyecto de Título II,Taller de Proyecto de Título II,AQT020T,['Dirección Docente']
